Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.40,-.61,-.28,-.73,-.24,-.28,-1.27,-.85,-.51,-.18,-.33,-.26,.03,*****
1881,-.37,-.49,-.37,-.56,-.22,-.42,-1.15,-.76,-.23,-.18,-.21,-.37,-.24,*****
1882,-.30,-.48,-.24,-.58,-.10,-.29,-1.59,-.53,-.35,-.06,-.12,-.25,-.10,*****
1883,-.31,-.65,-.09,-.76,-.18,-.13,-.39,-1.06,-.61,-.20,-.01,-.14,.27,*****
1884,-.59,-.86,-.41,-.97,-.45,-.43,-1.38,-1.08,-.76,-.43,-.42,-.28,-.65,*****
1885,-.45,-.68,-.36,-.79,-.24,-.38,-1.43,-.85,-.55,-.17,-.34,-.29,-.42,*****
1886,-.59,-.65,-.55,-.72,-.49,-.49,-1.32,-.68,-.59,-.37,-.77,-.40,-.47,*****
1887,-.65,-.68,-.63,-.75,-.54,-.55,-1.69,-.86,-.40,-.40,-.86,-.54,-.23,*****
1888,-.44,-.65,-.36,-.78,-.22,-.38,-1.61,-.96,-.38,-.14,-.33,-.10,-.81,*****
1889,-.17,-.32,-.16,-.43,.10,-.32,-.77,-.48,-.28,.11,.14,-.15,-.49,*****
1890,-.53,-.50,-.62,-.56,-.52,-.45,-1.17,-.77,-.20,-.28,-.88,-.47,-.17,*****
1891,-.55,-.48,-.71,-.59,-.48,-.48,-1.34,-.51,-.43,-.11,-1.01,-.40,-.45,*****
1892,-.49,-.52,-.54,-.62,-.38,-.48,-1.49,-.75,-.25,-.21,-.57,-.46,-.29,*****
1893,-.51,-.53,-.57,-.60,-.52,-.38,-1.03,-.66,-.41,-.31,-.75,-.53,.22,*****
1894,-.41,-.43,-.47,-.50,-.43,-.26,-1.25,-.53,-.22,-.22,-.66,-.36,.19,*****
1895,-.33,-.40,-.34,-.51,-.25,-.23,-.94,-.61,-.26,-.09,-.44,-.23,-.03,*****
1896,-.28,-.37,-.35,-.53,-.21,-.11,-1.22,-.69,-.16,.11,-.56,-.08,.03,*****
1897,-.19,-.22,-.23,-.36,.04,-.31,-.77,-.38,-.20,.19,-.13,-.17,-.43,*****
1898,-.36,-.30,-.48,-.38,-.28,-.43,-1.21,-.32,-.13,-.08,-.51,-.30,-.51,*****
1899,-.29,-.15,-.51,-.24,-.26,-.35,-1.13,-.18,.02,.10,-.66,-.22,-.42,*****
1900,-.14,-.09,-.23,-.17,.01,-.30,-.67,-.15,.00,.15,-.15,-.15,-.45,*****
1901,-.12,-.07,-.22,-.12,-.09,-.15,-.54,.04,-.11,.09,-.29,-.13,.04,*****
1902,-.34,-.43,-.34,-.62,-.04,-.46,-1.73,-.66,-.18,.11,-.20,-.28,-.69,*****
1903,-.40,-.35,-.49,-.45,-.24,-.57,-.57,-.37,-.48,-.07,-.41,-.50,-.47,-1.35
1904,-.52,-.43,-.64,-.45,-.57,-.50,-.41,-.47,-.44,-.38,-.77,-.39,-.45,-1.72
1905,-.34,-.30,-.39,-.37,-.21,-.47,-.26,-.23,-.52,-.14,-.28,-.41,-.39,-.90
1906,-.22,-.16,-.29,-.21,-.15,-.33,-.45,-.06,-.26,-.06,-.25,-.21,-.35,-.95
1907,-.52,-.55,-.54,-.68,-.41,-.49,-.80,-.88,-.47,-.27,-.58,-.46,-.28,-1.29
1908,-.37,-.33,-.46,-.40,-.36,-.35,-.51,-.46,-.31,-.18,-.56,-.50,.11,.69
1909,-.39,-.35,-.46,-.46,-.27,-.45,-.87,-.51,-.27,-.11,-.46,-.51,-.11,-.81
1910,-.32,-.31,-.35,-.34,-.35,-.24,-.79,-.19,-.30,-.26,-.44,-.26,-.04,.30
1911,-.35,-.30,-.42,-.33,-.35,-.38,-.37,-.33,-.31,-.25,-.46,-.39,-.15,-.16
1912,-.33,-.47,-.23,-.61,-.16,-.28,-.75,-.69,-.50,-.15,-.16,-.06,-.45,-2.14
1913,-.33,-.39,-.27,-.39,-.38,-.22,-.70,-.26,-.37,-.41,-.33,-.02,-.38,-1.36
1914,-.08,-.13,-.05,-.17,-.10,.04,-.65,-.06,-.08,-.07,-.13,.14,.03,-.33
1915,-.08,-.03,-.13,-.13,.14,-.30,-.75,-.07,.04,.21,.07,-.06,-.49,-2.67
1916,-.30,-.29,-.33,-.31,-.26,-.35,-.43,-.48,-.13,-.23,-.29,-.28,-.19,-1.84
